WEEK;DATE;HOME;AWAY
40;16/05/2025;Levante;Albacete
40;17/05/2025;Eibar;Burgos
40;17/05/2025;La Coruña;Granada
40;17/05/2025;Huesca;Elche
40;17/05/2025;Cartagena;Tenerife
40;17/05/2025;Málaga;Sporting Gijón
40;18/05/2025;Racing Ferrol;Cádiz
40;18/05/2025;Castellón;Eldense
40;18/05/2025;Oviedo;Zaragoza
40;18/05/2025;Almería;Racing Sant
