;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12;WEEK13;WEEK14;WEEK15;WEEK16;WEEK17;WEEK18;WEEK19;WEEK20;WEEK21;WEEK22;WEEK23;WEEK24;WEEK25;WEEK26;WEEK27;WEEK28;WEEK29;WEEK30;WEEK31;WEEK32;WEEK33;WEEK34;WEEK35
Ajaccio;0.4999999999999998;-1.3333333333333341;-0.9881250927247514;-0.547147073879893;-0.682882300770811;0.003089117305221419;-0.23961225543718978;-0.4190544338867776;-0.5297979111194407;-0.4614348869887598;-0.4654129167793972;-0.47343424545727925;-0.2838815983424837;-0.327125739416672;-0.38442460317460303;-0.4305555555555559;-0.44444444444444453;-0.6194444444444439;-0.5658544954276117;-0.496836219428439;-0.4452009366659438;-0.5373492619807979;-0.3747840853795227;-0.28756231505938373;-0.31209937768273377;-0.29752568147569575;-0.2674793545685615;-0.35506958058022603;-0.3263336045624028;-0.3163486473670753;-0.31830217760963503;-0.37214052287581717;-0.3022875816993468;-0.3333333333333334
Amiens;1.4999999999999996;1.3333333333333324;2.4671690429782425;0.4101511420510904;0.2705604342565866;-0.11276712918074394;-0.04785536018999381;0.04016373799208828;0.18491902351242306;0.37102361823906416;0.4430882171359159;0.24914764866713895;0.12721390235754898;-0.07774387732201557;0.06825396825396915;-0.04513888888888881;-0.222222222222222;-0.23333333333333334;-0.16797643386858674;-0.3553088622299715;-0.28228931016442277;-0.3149027186297514;-0.430571938350152;-0.41483242316436;-0.4065151384038817;-0.475629659339129;-0.4498715374934082;-0.4449480988487064;-0.4685016321525154;-0.4108241004135301;-0.35952311070613147;-0.37671846804197506;-0.3153594771241838;-0.3333333333333335
Annecy;0.9999999999999998;0.5000000000000007;-0.45793902931892627;0.5836930035218737;0.5320811278591195;0.15899211106377353;0.2416647078691132;0.2245322441822073;0.028573591290128375;0.3016061445525451;0.3685043389008592;0.4705910846992204;0.14750114281363091;0.19769013335560948;0.2941468253968256;0.31944444444444453;0.3333333333333335;0.17777777777777803;0.21843434343434398;0.12690896266561327;0.060498137380637834;0.12303155653999764;0.11859435683282876;0.0012765456392939908;-0.01062956497546991;-0.1271275307492385;-0.11871802439203907;-0.15755133329430587;-0.15445504798847984;-0.13178229871628994;-0.094389402158246;-0.04319855243630317;-0.08660130718954184;-0.027777777777777953
Bastia;0.0;1.6666666666666663;2.111181709818846;0.3538600097813333;0.36994891869999114;0.21259398989233272;0.20463687803112085;0.2728344293795205;0.1709954890374642;0.17009982316691924;0.10878507238974368;-0.07225236815894467;-0.027139348074389277;0.02343785692069413;-0.026438101487314042;0.12499999999999992;0.05555555555555506;0.23055555555555574;0.16330845353518975;0.15175391609716815;0.1872955293130113;0.25091867362050335;0.23617831974076325;0.23801106804911898;0.15311654895906215;0.16094914969373877;0.04341474166586205;0.11853788764451692;0.10952274605245602;0.20699320103878116;0.1956299397428987;0.16058273395954198;0.16421568627450978;0.16666666666666669
Caen;-1.0;-2.500000000000003;-1.1834041878334927;-0.6368997955010792;-0.42122106604164494;-0.18487997186919036;-0.3819329945917959;-0.4695853093227829;-0.451907422157738;-0.6289863029837433;-0.3881334689601786;-0.21751204129936372;-0.24573229612858744;-0.2252042091346965;-0.24162018810148778;-0.33680555555555397;-0.38888888888888823;-0.4222222222222222;-0.48039836208742515;-0.48238340479090003;-0.5973131573277872;-0.6481961750600832;-0.6481930971021046;-0.6295329653046864;-0.583877837999793;-0.6010262952017379;-0.626986900065222;-0.6599159064552387;-0.6118818479820199;-0.5917953213169675;-0.6897440701122826;-0.7577899836957416;-0.7475490196078439;-0.7499999999999994
Clermont Foot;-1.1102230246251565e-16;-1.4999999999999991;-0.8357546643747654;-0.3701404215584981;-0.5437420490426121;-0.47152749834891877;-0.7464062087199419;-0.2524356343511934;-0.1661575053935709;-0.37263354189334785;-0.2343004207994535;-0.09984406498057906;-0.27219786530350987;-0.2127136049608296;-0.3138396762904633;-0.27430555555555514;-0.22222222222222165;-0.23055555555555504;-0.19501854029242763;-0.18760734417039004;-0.24163527585368066;-0.2864561709297452;-0.26054275474569993;-0.34950410231880513;-0.3988234101261915;-0.44820963491302784;-0.427407280898404;-0.4292129269988525;-0.45740607733004907;-0.4532174492162276;-0.5011740039913716;-0.500160067654678;-0.45915032679738593;-0.4444444444444443
Dunkerque;-1.0000000000000002;-1.4999999999999987;-1.3873853410480324;-0.35869169151032193;0.05816708478384322;0.3031168417604149;-0.030315283450041187;0.07580631427484227;0.009812818885359129;0.1387547352854594;0.011927217778430895;0.1875314578416714;0.2617074773976328;0.2827050229821584;0.17976268591426106;0.2812500000000001;0.27777777777777823;0.261111111111111;0.23903509428558845;0.3298055019221158;0.2175208018682007;0.2689308603964837;0.3148697247064437;0.40683187989333;0.42487922050140153;0.25571033981443686;0.2456824383049349;0.17147348095218973;0.24575626065071896;0.19679938676871078;0.24764152255251162;0.21238178604186803;0.2116013071895428;0.19444444444444373
Grenoble;0.5;1.5000000000000038;0.14888244291992037;0.46293416931324716;1.0923928110199768;0.43698273631535;0.7085408878464327;0.4616331357366431;0.760780041412898;0.6375297824555566;0.5611123211115832;0.2933124288387099;0.22206143642310033;0.20114395675505237;0.05759241032370956;-0.12500000000000036;-0.055555555555555386;-0.022222222222222247;-0.04211274632090493;-0.13519596873148101;-0.0914160552156105;-0.1178128562647113;0.00735096416364376;0.025919019333809537;-0.017955062855446898;-0.019239196395081103;-0.03331822724960179;-0.034518179186432366;0.005050239811894984;-0.009160871372218944;-0.06567354717688137;-0.03108914951100236;0.031045751633987446;-0.027777777777778057
Guingamp;1.9999999999999996;1.5000000000000004;0.5789083802712438;0.4528529261201073;0.5077781380093419;0.31185007539198445;0.5791836173811598;0.10182435829066079;0.02036316524137184;-0.03218644586718154;0.04430032374492422;0.3443300588302118;0.21311461405328774;0.4101415203589986;0.36541721347331535;0.2187499999999998;0.2222222222222225;0.37777777777777805;0.5093434343434334;0.5019806875510119;0.4511725478356956;0.5388973517308934;0.44373089240273234;0.4226675621654756;0.30695426634049916;0.3627413243718617;0.38284206518089325;0.44354399962461055;0.37140477132600247;0.3559465686028347;0.29962960577348263;0.297977029071284;0.29575163398692766;0.33333333333333315
Lorient;0.4999999999999999;3.5000000000000036;1.9376746422743;0.8992698450626585;0.7450388180568736;0.32035944846172404;0.6513971413372734;0.6119067179862308;0.786178359131185;0.7016167611827044;0.7958907807305181;0.6304643259989122;0.7432029402965895;0.6818723014694991;0.7388422035480864;0.8576388888888883;0.7222222222222212;0.7166666666666666;0.7475134455007645;0.7600292579998736;0.7329697882212871;0.7776514359365773;0.7873600802300809;0.7237437488955808;0.7735461963228186;0.7373493236570867;0.8550758772841813;0.8579440027307367;0.9840004173070721;0.9957605268767766;0.9615826602790382;1.032271241830066;0.9624183006535956;1.0277777777777792
