WEEK;DATE;HOME;AWAY
8;17/05/2025;Operário;Botafogo (SP)
8;17/05/2025;Vila Nova;Ath Paranaense
8;17/05/2025;Athletic;Novorizontino
8;18/05/2025;Atl Goianiense;Remo
8;18/05/2025;CRB;Criciúma
8;18/05/2025;Paysandu;Goiás
8;19/05/2025;Volta Redonda;Amazonas
8;19/05/2025;Coritiba;América (MG)
9;24/05/2025;Ath Paranaense;Athletic
9;24/05/2025;Avaí;Chapecoense
