;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12;WEEK13;WEEK14;WEEK15
Boston River;-0.9999999999999999;-0.18749999999999953;0.05807253313696566;-0.2107922755643335;-0.8399466933702847;-0.4948568395123186;-0.8053891779896073;-0.3684265590536092;-0.34186828150747073;-0.47107330810242337;-0.3208251171375513;-0.22670599206594763;-0.09978993260775991;-0.03571428571428611
Cerro;0.0;0.4374999999999998;0.24323453608247392;0.030908693752729643;0.4879425421145934;0.3020260523576359;0.29335089206847687;0.1292573536909386;0.22280432660988542;0.06201352243152919;-0.010983612794048636;-0.12992208824174298;-0.27786126144067635;-0.46428571428571463
Cerro Largo;1.1102230246251565e-16;0.43749999999999956;0.1437500000000005;0.26006328202137086;-0.33396932499422655;-0.03870605765846136;0.229932580961977;0.016875626116310105;0.2212942696663498;-0.13472680650419072;-0.2654447913918714;-0.18851021722681977;-0.14975901347341394;-0.05357142857142759
Danubio;0.0;0.6875000000000004;0.14197349042710083;-0.3863140916400491;-0.5996707723589816;-0.21040278551310354;0.049131461923289876;-0.025228984974299276;-0.028745122806528398;-0.21024287611941445;-0.3318365696379757;-0.39480313140339096;-0.4687492580920919;-0.40624999999999967
Defensor;1.0000000000000002;1.6875000000000009;1.5724594992636223;1.6885787107474024;1.295954505454585;0.8926675887153269;0.7427050863666365;0.6035071961766003;0.7523589929549301;0.6151753502479209;0.6189330462299416;0.40708343240802114;0.4199949625594458;0.3214285714285721
Juventud de Las Piedras;-2.220446049250313e-16;0.5624999999999993;0.24552650957289984;0.21581630352414152;0.11999348992975004;0.4787692755756068;0.7173342532270015;0.2298287727474564;0.36669314622783233;0.5499657642379837;0.35929451470571516;0.4349449137612044;0.415500644249999;0.5089285714285716
Liverpool;0.0;0.8124999999999973;0.03664396170839552;0.15852765645697922;0.8459782560195112;1.100148957375148;1.2962961340571484;1.1616400672550828;1.081897307208519;0.9028042755162837;0.8824735439091945;0.8810923577279842;0.9095898835159582;0.8035714285714302
Miramar Misiones;-0.4999999999999999;-0.06250000000000043;-0.5491439617083945;-0.609585475235914;-0.3945219353206836;-0.44545930589381766;-0.03750623299088121;-0.16242529893890204;-0.25550352600995424;-0.43557070438272105;-0.6363075118328833;-0.6723442773695069;-0.7875970563924888;-0.5535714285714285
Nacional;-0.4999999999999999;-0.9374999999999998;0.21516936671575815;0.4155592605736481;0.09486233647703153;0.26019594211636354;0.17680385280894978;0.47136598217733283;0.31956513381982043;0.7334810412837491;0.8499440815401241;0.9210303379511657;0.9898475927772307;1.1785714285714284
Peñarol;0.9999999999999999;-0.8125000000000007;-0.22766936671575955;-0.007962885205735293;-0.5004472828998682;-0.44872941707759584;-0.7173342532270035;-0.22982877274745542;-0.4177087680627013;-0.2582219591822116;-0.0945148111343111;-0.005337198742570826;0.13022293139052163;0.2232142857142838
Plaza Colonia;0.4999999999999999;1.0624999999999991;1.070397643593521;0.9272508570538427;0.995058674800525;0.7270945187810656;0.6002493327550997;0.36874037049516883;0.32644925645731787;0.2631719299214259;0.1962927752012442;0.16525911037453905;0.18703630511182215;0.09375000000000046
Progreso;-0.9999999999999999;-2.6874999999999996;-2.95625;-2.1796636085626906;-2.2358343474292655;-1.7296597439231554;-1.4498123957754305;-1.1464070924277665;-1.1344236317950043;-1.0026915862663421;-0.8798250254254304;-0.7006353469981788;-0.7265989030159458;-0.6339285714285706
Racing;0.0;-0.6874999999999994;-0.5557345360824744;0.09481117876965994;0.5738736052846892;0.17803706011609616;0.20483748346956665;0.2841085044141054;0.22879146692564692;0.3934336679320052;0.4895245298464179;0.4042813558461321;0.3754533081774697;0.30357142857142844
River Plate;0.0;0.5625000000000011;0.21504050073637682;-0.056954917269563365;-0.09519131546151367;-0.6331874400436335;-1.0443250019147432;-0.8394802275874121;-0.827777579567333;-0.6063416937211916;-0.38295335225439764;-0.4370997579765892;-0.34909451868262975;-0.575892857142857
Torque;0.4999999999999999;-0.062499999999999556;0.8294274668630347;0.06065581162735301;0.14573132154608992;-0.31042796686121266;-0.5505990176552257;-0.4594184329294462;-0.40596671150842767;-0.30150987099384946;-0.3028007997396788;-0.2077777605128673;-0.24311600202675476;-0.3482142857142879
Wanderers;0.0;-0.812499999999999;-0.4828976435935207;-0.4008985010488432;0.4401869402080513;0.37249016144605845;0.2943250019147416;-0.03410850441410557;-0.10786027861288285;-0.09966674629855232;-0.17097090008448745;-0.25055573753143234;-0.3250796820506869;-0.3616071428571432
