WEEK;DATE;HOME;AWAY
28;04/04/2025;Karlsruher;Hannover 96
28;04/04/2025;BTSV;Paderborn 07
28;05/04/2025;Nürnberg;Hamburger SV
28;05/04/2025;Düsseldorf;Preußen Münster
28;05/04/2025;Darmstadt 98;Greuther Fürth
28;05/04/2025;Köln;Hertha BSC
28;06/04/2025;Magdeburg;Kaiserslautern
28;06/04/2025;Elversberg;Jahn R'burg
28;06/04/2025;Schalke 04;Ulm
29;11/04/2025;Greuther Fürth;Köln
