WEEK;DATE;HOME;AWAY
34;17/05/2025;Freiburg;Eint Frankfurt
34;17/05/2025;St. Pauli;Bochum
34;17/05/2025;Dortmund;Holstein Kiel
34;17/05/2025;Heidenheim;Werder Bremen
34;17/05/2025;RB Leipzig;Stuttgart
34;17/05/2025;Augsburg;Union Berlin
34;17/05/2025;Gladbach;Wolfsburg
34;17/05/2025;Hoffenheim;Bayern Munich
34;17/05/2025;Mainz 05;Leverkusen
