WEEK;DATE;HOME;AWAY
9;17/05/2025;Ceará;Sport Recife
9;17/05/2025;Vasco da Gama;Fortaleza
9;18/05/2025;Bahia;Vitória
9;18/05/2025;Corinthians;Santos
9;18/05/2025;Juventude;Fluminense
9;18/05/2025;RB Bragantino;Palmeiras
9;18/05/2025;Flamengo;Botafogo (RJ)
9;18/05/2025;Cruzeiro;Atlético Mineiro
9;18/05/2025;Internacional;Mirassol
9;17/05/2025;São Paulo;Grêmio
