WEEK;DATE;HOME;AWAY;FTHG;FTAG;DIFF
1;23/08/2024;Gladbach;Leverkusen;2;3;-1
1;24/08/2024;Hoffenheim;Holstein Kiel;3;2;1
1;24/08/2024;Mainz 05;Union Berlin;1;1;0
1;24/08/2024;Augsburg;Werder Bremen;2;2;0
1;24/08/2024;Freiburg;Stuttgart;3;1;2
1;24/08/2024;RB Leipzig;Bochum;1;0;1
1;24/08/2024;Dortmund;Eint Frankfurt;2;0;2
1;25/08/2024;Wolfsburg;Bayern Munich;2;3;-1
1;25/08/2024;St. Pauli;Heidenheim;0;2;-2
2;30/08/2024;Union Berlin;St. Pauli;1;0;1
2;31/08/2024;Werder Bremen;Dortmund;0;0;0
2;31/08/2024;Eint Frankfurt;Hoffenheim;3;1;2
2;31/08/2024;Bochum;Gladbach;0;2;-2
2;31/08/2024;Holstein Kiel;Wolfsburg;0;2;-2
2;31/08/2024;Stuttgart;Mainz 05;3;3;0
2;31/08/2024;Leverkusen;RB Leipzig;2;3;-1
2;01/09/2024;Heidenheim;Augsburg;4;0;4
2;01/09/2024;Bayern Munich;Freiburg;2;0;2
3;13/09/2024;Dortmund;Heidenheim;4;2;2
3;14/09/2024;RB Leipzig;Union Berlin;0;0;0
3;14/09/2024;Gladbach;Stuttgart;1;3;-2
3;14/09/2024;Freiburg;Bochum;2;1;1
3;14/09/2024;Wolfsburg;Eint Frankfurt;1;2;-1
3;14/09/2024;Hoffenheim;Leverkusen;1;4;-3
3;14/09/2024;Holstein Kiel;Bayern Munich;1;6;-5
3;15/09/2024;Augsburg;St. Pauli;3;1;2
3;15/09/2024;Mainz 05;Werder Bremen;1;2;-1
4;20/09/2024;Augsburg;Mainz 05;2;3;-1
4;21/09/2024;Union Berlin;Hoffenheim;2;1;1
4;21/09/2024;Bochum;Holstein Kiel;2;2;0
4;21/09/2024;Heidenheim;Freiburg;0;3;-3
4;21/09/2024;Werder Bremen;Bayern Munich;0;5;-5
4;21/09/2024;Eint Frankfurt;Gladbach;2;0;2
4;22/09/2024;Leverkusen;Wolfsburg;4;3;1
