WEEK;DATE;HOME;AWAY
37;16/05/2025;Aston Villa;Tottenham
37;16/05/2025;Chelsea;Manchester Utd
37;18/05/2025;Everton;Southampton
37;18/05/2025;West Ham;Nott'ham Forest
37;18/05/2025;Brentford;Fulham
37;18/05/2025;Leicester City;Ipswich Town
37;18/05/2025;Arsenal;Newcastle Utd
37;19/05/2025;Brighton;Liverpool
37;20/05/2025;Manchester City;Bournemouth
37;20/05/2025;Crystal Palace;Wolves
