;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12;WEEK13;WEEK14
ADT Tarma;0.0;3.526315789473687;1.2770468064543163;0.7219223740030657;0.03210422883279075;0.8278661343748391;0.08874244497494305;-0.020354799996260876;-0.0077709074061028715;0.09606272471074681;-0.03580480468660951;-0.05317854743355698;-0.04854651165027536
Alianza Atlético;-0.4999999999999999;-1.4736842105263137;-0.5072197686057938;0.09872535074774796;0.6824181587153315;-0.7149526362247596;-0.01329735846012653;-0.07322732535566115;0.16949289967322917;0.1712045862457345;0.4416695730917281;0.6554028961926281;0.7212579659387641
Alianza Lima;1.5;-3.473684210526311;-0.6257357424979253;-0.05862091609399789;0.6778250053261234;-0.12971990292328864;0.1705450107087535;0.5715315995335813;0.629470194614428;0.6257377669169794;0.48732585723386646;0.4004846362717958;0.401882876354647
Alianza Univ;0.0;0.5263157894736823;-0.03590406953331665;-0.7807254820623778;-0.8474656549559589;-0.3949607739822777;-0.9737282811580855;-0.9113584396155399;-0.9251263312049245;-0.858862780334709;-1.0585261532115011;-1.0647859695360649;-1.0719980568415404
Atlético Grau;0.5;2.52631578947369;0.5899976824419493;0.22390402730994136;-0.2732094687051767;0.598229476963282;0.2283746449043455;-0.22585544016481934;-0.39475296784168806;-0.31992188377400915;-0.6334102042876042;-0.5777478936008859;-0.586519713207252
Ayacucho;-0.5;1.5263157894736847;-0.09705144157041869;-0.380260736448778;-0.6828567151656144;-0.6216415824785932;-0.713168785282974;-0.7339533503718472;-0.9592324278944335;-1.0907753157841995;-1.0061707605046197;-1.1007034335558095;-1.0948019059376999
Binacional;0.0;-4.473684210526317;-2.1173193907287757;-2.076566987076717;-0.15905672595765377;-1.7479886798492312;-1.0825457031348273;-0.7335184980710372;-0.6301155295074043;-0.3809437440695894;-0.40761240989469383;-0.40103259397242375;-0.3986405204721896
CDC Santa Rosa;0.0;5.526315789473687;2.186137715545218;1.8565870486419342;-0.07318606145194063;1.0213492325514573;0.38893318402542737;-0.20916475943449556;-0.2689288701609016;-0.12477131896414352;-0.12802602390033557;-0.13730065253352364;-0.14567945918225092
Cienciano;0.0;3.526315789473693;1.2770468064543146;1.348722068379125;0.2526297253181429;1.1399038594075894;0.5308329086705883;-0.1228715419013231;-0.17402262990718048;0.03958499119513755;0.08105687878564884;0.0093489049149684;0.0012393094504880328
Comerciantes Unidos;-1.1102230246251565e-16;4.526315789473703;1.9134104428179526;1.8909886331711447;0.09673482461521411;0.9349644165056622;0.521908519223014;-0.3685896919580471;-0.5952935848749322;-0.5222458680843713;-0.47557686184632003;-0.5123774385300969;-0.5215550156155146
Cusco;-1.5000000000000002;-6.4736842105263115;-2.2190026610826084;-2.3747029071117307;-0.7031986993463207;-1.181040618104088;-0.1634367876214888;-0.043474326167845814;0.2628236856978325;0.0700212812759354;0.48110240706225577;0.672104357891591;0.6761474413916287
Deportivo Garcilaso;0.0;5.526315789473693;2.458864988272491;2.330050444375537;0.6311006729640558;1.8286091838630378;1.552999597815066;1.0998015026730685;1.1671039765566649;0.9428493696626284;0.6436156620496943;0.4634228098068677;0.4035179926531006
Juan Pablo II;-0.5;-1.4736842105263195;-1.150984797805383;-1.0076141357122286;-1.1131662945311467;-1.5758727731597924;-1.3495115097869932;-0.7208040285773981;-0.6050170356206912;-0.6824037029196797;-0.5929686352124593;-0.5042972741413495;-0.49552651909136297
Melgar;1.4999999999999998;-5.473684210526314;-0.9139528500211132;-0.4099003204100486;1.1707169919147242;0.44285755828700607;1.490496622658829;1.1945136253238504;1.0913995970147634;0.9032376319254717;0.8041267674419207;0.827480695032699;0.8283381912134316
Sport Boys;0.5;-0.4736842105263194;0.15475206238011985;0.09578888238557651;-0.19631904845499992;-0.3278311082674852;-0.5267882853023725;0.01389999954995242;-0.05960011651370243;-0.04121687259321327;-0.019729693378249157;-0.045394514832786295;-0.05184062180784828
Sport Huancayo;0.4999999999999999;-0.47368421052631754;0.01802928670165775;-0.06001037342825429;0.22488559096194619;0.08157525505121521;-0.29853550565745024;0.05082029537525082;0.20079049788412157;0.10789577440877143;0.298469918103862;0.26300526941933283;0.2625842605043666
Sporting Cristal;0.0;0.5263157894736865;0.712292426516155;0.04910802770024256;0.2059285769583677;0.4873220580526544;-0.05955198994281706;0.2888442888777723;0.21457266849611192;0.1729765023012385;0.25655318387368015;0.4390502714479462;0.4461745780014314
UTC;-1.4999999999999998;-8.473684210526311;-5.015636120374946;-3.953723404866159;-1.5022800686684799;-2.755399429810173;-1.196307787714572;-0.8316599449060231;-0.8079808811933364;-1.1849049178433133;-0.8683257924999433;-0.872711082842189;-0.869482753236448
Universitario;1.1102230246251565e-16;4.526315789473691;2.09522862463613;2.486328406495961;1.5763949616305988;2.0867303297429385;1.4040390610807412;1.77542083518682;1.6921877621881465;2.0764757757245813;1.732231091779682;1.5392295600008596;1.5434484615345256
