;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12;WEEK13;WEEK14;WEEK15;WEEK16;WEEK17;WEEK18;WEEK19;WEEK20;WEEK21;WEEK22;WEEK23;WEEK24;WEEK25;WEEK26;WEEK27;WEEK28;WEEK29
Ajaccio;0.4999999999999998;-1.3333333333333341;-0.9881250927247514;-0.547147073879893;-0.682882300770811;0.003089117305221419;-0.23961225543718978;-0.4190544338867776;-0.5297979111194407;-0.4614348869887598;-0.4654129167793972;-0.47343424545727925;-0.2838815983424837;-0.327125739416672;-0.38442460317460303;-0.4305555555555559;-0.44444444444444453;-0.6194444444444439;-0.5658544954276117;-0.496836219428439;-0.4452009366659438;-0.5373492619807979;-0.3747840853795227;-0.2875623150593835;-0.3120993776827346;-0.2975256814756951;-0.26747935456856076;-0.3550695805802258
Amiens;1.4999999999999996;1.3333333333333324;2.4671690429782425;0.4101511420510904;0.2705604342565866;-0.11276712918074394;-0.04785536018999381;0.04016373799208828;0.18491902351242306;0.37102361823906416;0.4430882171359159;0.24914764866713895;0.12721390235754898;-0.07774387732201557;0.06825396825396915;-0.04513888888888881;-0.222222222222222;-0.23333333333333334;-0.16797643386858674;-0.3553088622299715;-0.28228931016442277;-0.3149027186297514;-0.43057193835015206;-0.414832423164359;-0.40651513840388354;-0.47562965933912993;-0.44987153749340736;-0.4449480988487061
Annecy;0.9999999999999998;0.5000000000000007;-0.45793902931892627;0.5836930035218737;0.5320811278591195;0.15899211106377353;0.2416647078691132;0.2245322441822073;0.028573591290128375;0.3016061445525451;0.3685043389008592;0.4705910846992204;0.14750114281363091;0.19769013335560948;0.2941468253968256;0.31944444444444453;0.3333333333333335;0.17777777777777803;0.21843434343434398;0.12690896266561327;0.060498137380637834;0.12303155653999764;0.11859435683282778;0.001276545639293694;-0.010629564975469944;-0.12712753074923894;-0.11871802439203986;-0.1575513332943064
Bastia;0.0;1.6666666666666663;2.111181709818846;0.3538600097813333;0.36994891869999114;0.21259398989233272;0.20463687803112085;0.2728344293795205;0.1709954890374642;0.17009982316691924;0.10878507238974368;-0.07225236815894467;-0.027139348074389277;0.02343785692069413;-0.026438101487314042;0.12499999999999992;0.05555555555555506;0.23055555555555574;0.16330845353518975;0.15175391609716815;0.1872955293130113;0.25091867362050335;0.23617831974076395;0.23801106804911965;0.15311654895906285;0.1609491496937392;0.04341474166586207;0.11853788764451721
Caen;-1.0;-2.500000000000003;-1.1834041878334927;-0.6368997955010792;-0.42122106604164494;-0.18487997186919036;-0.3819329945917959;-0.4695853093227829;-0.451907422157738;-0.6289863029837433;-0.3881334689601786;-0.21751204129936372;-0.24573229612858744;-0.2252042091346965;-0.24162018810148778;-0.33680555555555397;-0.38888888888888823;-0.4222222222222222;-0.48039836208742515;-0.48238340479090003;-0.5973131573277872;-0.6481961750600832;-0.6481930971021067;-0.6295329653046863;-0.5838778379997921;-0.6010262952017392;-0.6269869000652224;-0.6599159064552389
Clermont Foot;-1.1102230246251565e-16;-1.4999999999999991;-0.8357546643747654;-0.3701404215584981;-0.5437420490426121;-0.47152749834891877;-0.7464062087199419;-0.2524356343511934;-0.1661575053935709;-0.37263354189334785;-0.2343004207994535;-0.09984406498057906;-0.27219786530350987;-0.2127136049608296;-0.3138396762904633;-0.27430555555555514;-0.22222222222222165;-0.23055555555555504;-0.19501854029242763;-0.18760734417039004;-0.24163527585368066;-0.2864561709297452;-0.2605427547457;-0.3495041023188049;-0.39882341012619127;-0.4482096349130283;-0.42740728089840446;-0.42921292699885155
Dunkerque;-1.0000000000000002;-1.4999999999999987;-1.3873853410480324;-0.35869169151032193;0.05816708478384322;0.3031168417604149;-0.030315283450041187;0.07580631427484227;0.009812818885359129;0.1387547352854594;0.011927217778430895;0.1875314578416714;0.2617074773976328;0.2827050229821584;0.17976268591426106;0.2812500000000001;0.27777777777777823;0.261111111111111;0.23903509428558845;0.3298055019221158;0.2175208018682007;0.2689308603964837;0.31486972470644303;0.40683187989332925;0.4248792205014011;0.25571033981443814;0.24568243830493527;0.17147348095218884
Grenoble;0.5;1.5000000000000038;0.14888244291992037;0.46293416931324716;1.0923928110199768;0.43698273631535;0.7085408878464327;0.4616331357366431;0.760780041412898;0.6375297824555566;0.5611123211115832;0.2933124288387099;0.22206143642310033;0.20114395675505237;0.05759241032370956;-0.12500000000000036;-0.055555555555555386;-0.022222222222222247;-0.04211274632090493;-0.13519596873148101;-0.0914160552156105;-0.1178128562647113;0.007350964163643652;0.025919019333809846;-0.017955062855446523;-0.019239196395081447;-0.03331822724960136;-0.03451817918643256
Guingamp;1.9999999999999996;1.5000000000000004;0.5789083802712438;0.4528529261201073;0.5077781380093419;0.31185007539198445;0.5791836173811598;0.10182435829066079;0.02036316524137184;-0.03218644586718154;0.04430032374492422;0.3443300588302118;0.21311461405328774;0.4101415203589986;0.36541721347331535;0.2187499999999998;0.2222222222222225;0.37777777777777805;0.5093434343434334;0.5019806875510119;0.4511725478356956;0.5388973517308934;0.4437308924027313;0.4226675621654741;0.3069542663404986;0.36274132437186307;0.38284206518089314;0.44354399962461094
Lorient;0.4999999999999999;3.5000000000000036;1.9376746422743;0.8992698450626585;0.7450388180568736;0.32035944846172404;0.6513971413372734;0.6119067179862308;0.786178359131185;0.7016167611827044;0.7958907807305181;0.6304643259989122;0.7432029402965895;0.6818723014694991;0.7388422035480864;0.8576388888888883;0.7222222222222212;0.7166666666666666;0.7475134455007645;0.7600292579998736;0.7329697882212871;0.7776514359365773;0.7873600802300817;0.7237437488955804;0.7735461963228187;0.7373493236570868;0.8550758772841817;0.8579440027307349
