DATE;HOME;AWAY
04/04/2025;Randers;Midtjylland
06/04/2025;Viborg;SønderjyskE
06/04/2025;Silkeborg;Lyngby
06/04/2025;Vejle BK;Aalborg
06/04/2025;Nordsjælland;FC Copenhagen
07/04/2025;Brøndby;AGF
11/04/2025;Aalborg;Lyngby
13/04/2025;FC Copenhagen;Brøndby
13/04/2025;Viborg;Silkeborg
13/04/2025;AGF;Midtjylland
