;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12
Audax Italiano;-0.9999999999999999;-0.49999999999999956;0.7842711948438317;0.48982441909213587;0.45660200877518836;0.17664351630963238;0.5008421716459329;0.590798361960722;0.5791426745830703;0.6239675076810484;0.6231480089403042
CD Limache;0.0;-2.2083333333333357;-1.3208353991075794;-1.207598571634034;-1.0347122582008192;-0.8482498873533659;-0.822424895730369;-0.8177302224581853;-0.8348002756446975;-0.5879035293760737;-0.577743680571351
Cobresal;-0.5;0.2916666666666694;0.8690505701536984;1.1916012630082862;1.082783403973747;0.7730209472747538;0.6165872016255536;0.7444283954190329;0.7389768677791189;0.6545989864214729;0.6530287986835713
Colo-Colo;1.0;0.45833333333334353;0.5197694595934494;0.27758016154365817;0.6828495015083869;0.8460362097795332;0.7467498165126359;0.6904577024348213;0.6905074984153307;0.2703101593492015;0.280561026103724
Coquimbo Unido;1.5;1.4999999999999996;1.231717897868117;0.9181806458213235;0.15588240782090906;0.47167102010773787;0.6372794217754452;0.4016144689618882;0.2936049531135242;0.5030055615330169;0.5786662783921402
Everton;0.0;-2.291666666666658;-2.2375433812592913;-2.010372541264306;-1.497004342745285;-0.6775212624274669;-0.8028236358181464;-0.6338389645660683;-1.1921168712195824;-1.154804158838642;-1.1546902764130063
Huachipato;0.0;1.6250000000000044;1.5648859692612727;1.1165550552184467;1.0597448027308563;1.4094020942131578;1.1781619330361783;0.9440830490761524;0.7079508214430953;0.17448298256160039;0.17562379945499296
Iquique;-1.5;-1.999999999999995;-0.9920054536440277;-1.4850197374167926;-2.47006346094055;-2.315676732319223;-2.2129711210637426;-2.210755240081112;-1.740621961544909;-1.13183180484265;-1.123184097977676
La Calera;1.9999999999999996;2.0416666666666647;1.1526400594943027;1.4327982756649371;1.1273587748987244;1.0972529269611118;0.840095076885526;0.6388538396485873;0.5897903961450444;0.37492091316367315;0.2991758269905465
La Serena;-1.0000000000000002;-1.6249999999999885;-1.4180094199305844;-0.7620761927090163;0.14842520785469193;-0.006299260137197858;-0.06527588382229271;-0.24144699946919426;-0.6654627153287794;-0.7395773597591655;-0.7481762115548823
O'Higgins;0.0;1.5416666666666679;1.4124318294496805;0.7662143249295057;1.0202323381932823;1.0451938384563313;0.7135336314504559;0.7703261726383492;0.40645521083309777;0.16717645782325521;0.16830427471632292
Palestino;0.5000000000000001;1.2083333333333268;0.3368244918195291;0.47817635609152853;0.5098875609843885;0.45940563879284124;0.7101530377169973;0.6131652544948663;0.5926135916506264;0.5297911615004116;0.5219429987018502
U de Chile;2.4999999999999996;2.9583333333333224;1.6883366385721326;2.132124242829306;1.579489505015475;0.5709015194676911;0.4767408286400389;0.7731787254672089;0.7959516566699469;0.9128695080899698;0.901941815966813
Univ Católica;1.0000000000000002;0.9999999999999947;1.0079945463559739;0.17373962932784237;-0.3015913029825515;-0.27819046083789656;0.0035842987327112663;0.05565265253441071;0.7646881711301815;0.8222895685361024;0.8302568285587443
Unión Española;-1.9999999999999996;-1.8750000000000018;-2.642848289538921;-2.28370052031752;-1.1710979793006857;-1.2087015775080732;-0.7492352104482457;-0.8590649158716506;-0.6553976711051938;-0.6110653998580747;-0.6197039438194651
Ñublense;-2.4999999999999996;-2.125000000000015;-1.9566807139315845;-1.2280268101852994;-1.3487861675857593;-1.5148885307795699;-1.770996671138678;-1.4597222801898297;-1.0712823469198762;-0.8082305539851443;-0.8091514461726281
