WEEK;DATE;HOME;AWAY
31;04/04/2025;Genoa;Udinese
31;05/04/2025;Monza;Como
31;05/04/2025;Parma;Inter
31;05/04/2025;Milan;Fiorentina
31;06/04/2025;Lecce;Venezia
31;06/04/2025;Empoli;Cagliari
31;06/04/2025;Torino;Hellas Verona
31;06/04/2025;Atalanta;Lazio
31;06/04/2025;Roma;Juventus
31;07/04/2025;Bologna;Napoli
