WEEK;DATE;HOME;AWAY
13;17/05/2025;SD Aucas;Manta Fútbol Club
13;17/05/2025;Mushuc Runa;Orense
13;18/05/2025;Vinotinto;Independiente
13;18/05/2025;Delfín;Univ Católica
13;18/05/2025;Barcelona;CS Emelec
13;17/05/2025;Macará;El Nacional
13;19/05/2025;LDU de Quito;Libertad
14;23/05/2025;Independiente;Mushuc Runa
14;24/05/2025;Manta Fútbol Club;Vinotinto
14;24/05/2025;Univ Católica;LDU de Quito
