;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9
ABB;0.9999999999999991;0.6875000000000003;-0.8768996960486329;-0.0892961489485751;0.24802014288107538;-0.023649065507862364;-0.43183533237038957;-0.44793831091303016
Always Ready;0.4999999999999998;0.7499999999999993;2.8199088145896654;1.5643552961961347;2.1366156656560724;2.368366923422457;2.0119277008346956;2.0455055281737273
Aurora;2.0;0.12499999999999933;0.5524316109422496;0.3829106770845797;0.035717462730478156;0.053178035314004335;0.05755590708289393;-0.18647751739954854
Blooming;0.9999999999999997;0.75;3.196808510638296;1.6416298044073465;0.6815070588666932;1.223073531735623;1.2024657388032363;1.2172080444497273
Bolívar;0.9999999999999996;0.4375000000000012;-0.8928571428571416;0.7536213280089036;1.8275135302272032;2.0199514707207937;2.0428303800645793;1.9910045857862775
FC Universitario;0.9999999999999996;0.6249999999999998;1.6800911854103333;0.29057283479145835;-0.9934466930326808;-1.148532134524686;-0.8139660697040629;-0.8387316472595397
GV San José;0.9999999999999998;2.187499999999999;-0.17097264437690146;0.0705789030135677;0.1122448410657485;-0.3892528474137009;-0.3607233986126644;-0.3581473971528345
Guabirá;-0.9999999999999996;0.875000000000001;0.8259878419452874;-0.5139916627645285;-0.4956537945976892;-0.8589929726362759;-0.39415070035579614;-0.4165625243149096
Indep Petrolero;0.5;-0.4374999999999998;-2.6231003039513716;-1.1914208867488192;-0.5929027545043987;-0.8656640430688816;-0.5599937045648979;-0.49570225470665547
Nacional Potosí;-0.49999999999999994;-1.2500000000000013;2.245440729483277;0.5169285090569445;-0.08778887822217524;-0.04091077626423026;-0.008360604309749248;0.31452017828690554
Oriente Petrolero;-2.0000000000000004;-1.6249999999999996;0.01747720364741534;-0.9717160316933181;-1.0294380003972197;-0.9185469267007339;-1.451908528871611;-1.4840329828894203
Real Oruro;-0.9999999999999999;-0.9374999999999987;-2.464285714285717;-1.1247029348454531;-0.5022179238125728;-0.31387711062789414;-0.6502097212456117;-0.6969200930995453
Real Tomayapo;-0.9999999999999998;0.8125000000000006;-0.9802431610942276;0.0063692292163361475;-0.26026439469126844;-0.39121625234128676;0.015948355277038584;-0.08838119222331453
San Antonio Bulo Bulo;-0.9999999999999998;-0.6874999999999998;-2.186170212765958;-0.885661570594448;-0.8238585135273939;-0.5518703470875368;-0.7567652856326772;-0.7318719130449488
The Strongest;-0.9999999999999998;-0.2500000000000009;3.0904255319148923;1.9030119733906095;1.0297555459872674;1.3535718212777594;1.597146850344334;1.6204238023025335
Wilstermann;-0.5;-2.0624999999999987;-4.234042553191491;-2.353189319570735;-1.2858032946291387;-1.515629306297546;-1.4999615867393123;-1.443896305995426
