DATE;HOME;AWAY
10/03/2025;Unión Española;U de Chile
15/03/2025;Univ Católica;Colo-Colo
13/04/2025;Unión Española;Ñublense
13/04/2025;La Serena;Everton
13/04/2025;Palestino;La Calera
13/04/2025;U de Chile;Colo-Colo
13/04/2025;CD Limache;Iquique
13/04/2025;Coquimbo Unido;Huachipato
13/04/2025;Audax Italiano;O'Higgins
13/04/2025;Cobresal;Univ Católica
