WEEK;DATE;HOME;AWAY
34;04/04/2025;Castellón;Albacete
34;05/04/2025;Eibar;Oviedo
34;05/04/2025;Cartagena;Eldense
34;05/04/2025;Granada;Almería
34;05/04/2025;Sporting Gijón;Tenerife
34;06/04/2025;Zaragoza;CD Mirandés
34;06/04/2025;Levante;Racing Sant
34;06/04/2025;Málaga;Córdoba
34;06/04/2025;Burgos;Huesca
34;06/04/2025;La Coruña;Cádiz
