WEEK;DATE;HOME;AWAY;FTHG;FTAG;DIFF
26;09/02/2025;Cádiz;Cartagena;5;2;3
26;09/02/2025;La Coruña;Almería;3;1;2
26;10/02/2025;Oviedo;Eldense;0;0;0
27;14/02/2025;CD Mirandés;Racing Ferrol;4;1;3
27;15/02/2025;Castellón;Eibar;2;0;2
27;15/02/2025;Cartagena;Málaga;0;1;-1
27;15/02/2025;Racing Sant;Cádiz;2;3;-1
27;15/02/2025;Tenerife;Córdoba;2;3;-1
27;16/02/2025;Levante;Sporting Gijón;0;0;0
27;16/02/2025;Huesca;Granada;1;1;0
27;16/02/2025;Eldense;La Coruña;2;0;2
27;16/02/2025;Zaragoza;Burgos;0;1;-1
27;16/02/2025;Oviedo;Albacete;1;0;1
27;17/02/2025;Almería;Elche;1;1;0
28;21/02/2025;Málaga;Tenerife;1;0;1
28;22/02/2025;Racing Ferrol;Córdoba;0;1;-1
28;22/02/2025;Eibar;Racing Sant;2;2;0
28;22/02/2025;Burgos;Oviedo;1;2;-1
28;22/02/2025;Granada;Zaragoza;2;2;0
28;22/02/2025;Sporting Gijón;Almería;1;1;0
28;23/02/2025;La Coruña;Huesca;0;0;0
28;23/02/2025;Elche;Cartagena;2;1;1
28;23/02/2025;Levante;CD Mirandés;1;0;1
28;23/02/2025;Albacete;Eldense;0;1;-1
28;23/02/2025;Cádiz;Castellón;0;0;0
29;28/02/2025;Cartagena;Eibar;0;2;-2
29;01/03/2025;Castellón;Burgos;2;1;1
29;01/03/2025;Huesca;Racing Ferrol;3;1;2
29;01/03/2025;Zaragoza;Sporting Gijón;1;1;0
29;01/03/2025;Almería;Málaga;2;2;0
29;02/03/2025;Córdoba;Granada;5;0;5
29;02/03/2025;Oviedo;La Coruña;1;2;-1
29;02/03/2025;Albacete;Cádiz;3;0;3
29;02/03/2025;Eldense;Levante;1;2;-1
29;02/03/2025;Racing Sant;Elche;2;0;2
29;03/03/2025;CD Mirandés;Tenerife;2;0;2
24;05/03/2025;Racing Ferrol;Burgos;0;1;-1
30;07/03/2025;Eibar;Almería;1;0;1
30;07/03/2025;La Coruña;Córdoba;1;1;0
30;08/03/2025;CD Mirandés;Oviedo;1;0;1
30;08/03/2025;Elche;Castellón;3;1;2
30;08/03/2025;Sporting Gijón;Racing Sant;1;1;0
30;08/03/2025;Zaragoza;Eldense;2;4;-2
30;09/03/2025;Tenerife;Huesca;2;0;2
30;09/03/2025;Málaga;Cádiz;0;2;-2
30;09/03/2025;Levante;Cartagena;3;0;3
30;09/03/2025;Granada;Racing Ferrol;3;0;3
30;10/03/2025;Burgos;Albacete;1;0;1
31;14/03/2025;Oviedo;Elche;1;1;0
31;15/03/2025;Racing Ferrol;Eibar;0;0;0
31;15/03/2025;Albacete;Málaga;2;0;2
31;15/03/2025;Cartagena;Burgos;0;1;-1
31;15/03/2025;Almería;Zaragoza;4;1;3
31;15/03/2025;Córdoba;Sporting Gijón;1;1;0
31;16/03/2025;Eldense;CD Mirandés;2;2;0
31;16/03/2025;Racing Sant;Tenerife;2;1;1
31;16/03/2025;Huesca;Levante;1;2;-1
31;16/03/2025;Cádiz;Granada;1;0;1
31;17/03/2025;Castellón;La Coruña;2;2;0
32;21/03/2025;Burgos;Almería;3;1;2
32;22/03/2025;Elche;Eldense;2;0;2
32;22/03/2025;Málaga;Racing Ferrol;2;0;2
32;22/03/2025;CD Mirandés;Racing Sant;2;1;1
32;22/03/2025;Granada;Oviedo;1;0;1
32;23/03/2025;Levante;Castellón;3;2;1
32;23/03/2025;Eibar;Huesca;2;1;1
32;23/03/2025;Sporting Gijón;Albacete;0;2;-2
32;23/03/2025;Tenerife;Cádiz;2;1;1
