;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12;WEEK13;WEEK14;WEEK15;WEEK16;WEEK17;WEEK18;WEEK19;WEEK20;WEEK21;WEEK22;WEEK23;WEEK24;WEEK25;WEEK26;WEEK27;WEEK28;WEEK29;WEEK30;WEEK31
Atalanta;2.0;-0.32500000000000334;-0.35412651365334247;-0.37165853316122816;-0.43487584512746885;-0.3889017000777867;0.14447374661089465;0.21689067439587795;0.7680840212189182;0.9011524850302638;1.2057654373738824;1.166951787445916;1.1966195732020017;1.2496306249397837;1.260693554091595;1.2341495224448455;1.2171601479991896;1.1722222222222216;1.15;1.0863636363636366;1.028321256038647;1.0125251350447584;0.9659173409837356;1.0862063764226317;1.033217117343035;1.1617337264328906;1.0990985027464906;1.2257049421710444;1.1552833412043682;1.107686157759022
Bologna;-1.6258839764163442e-17;-1.3249999999999997;-0.7356457510624145;-0.4293129955370668;-0.3091698962436634;-0.2691857163256426;-0.20117560681169022;-0.238907693039071;-0.03418736525843613;0.03614413178569731;-0.006616788215132674;0.06482321340633368;-0.09481896141824742;0.07573993576944804;0.1361244951774886;0.22833029997624554;0.3169977139406442;0.1888888888888886;0.24999999999999964;0.24318181818181794;0.3051718532817612;0.27510604388750215;0.32625222916606345;0.2702433925867086;0.29588579106496243;0.1898164701716385;0.20148693288315944;0.19780611525654;0.36827793659495356;0.3698457721298767
Cagliari;2.5177270856672967e-16;0.9250000000000009;-1.1550137868498775;-1.6034646162307686;-1.3606210348063148;-1.000516227296258;-0.6941883414323848;-0.5447290876570091;-0.7722742684852555;-0.945591674577486;-0.9474542444841209;-0.816372898406433;-0.8212170899225855;-0.7568516097564444;-0.691496760088538;-0.6547799369199887;-0.7211320307108375;-0.7666666666666682;-0.7000000000000007;-0.6477272727272723;-0.5302252534700255;-0.6012651073770735;-0.5966394019879602;-0.5506602908276638;-0.490613444335863;-0.471389763015957;-0.48403554165125373;-0.48157789906955456;-0.4907925526167523;-0.4096316880789039
Como;-1.5;1.6750000000000038;-0.9112209582083738;-0.937016971995125;-0.7247264182277824;-0.3031088756709729;-0.33773286220908805;-0.36199593921064;-0.4613427907444074;-0.7685511528231684;-0.7861695168690771;-0.7789402796680289;-0.8112298938551428;-0.7619179406544296;-0.773644976170574;-0.6435730533460842;-0.6417945504566791;-0.5499999999999996;-0.55;-0.5113636363636361;-0.36298309178743937;-0.34875845265156474;-0.4047378619297444;-0.3864515417610697;-0.26767316638989314;-0.1943666401374287;-0.20969842856942977;-0.22377196957125356;-0.2439437140901785;-0.2575324730219551
Empoli;4.401441537979232e-17;0.4249999999999958;0.03641235071110062;0.5941085867962431;0.5950306529065105;0.530322682021756;0.3915324992335909;0.5229478746582353;0.3797554076174402;0.15428009932101644;0.09874428065455396;0.015555759560999843;0.014037998803287464;-0.15428397527492926;-0.024979707589740496;-0.10457995161196691;-0.0905731525954651;-0.1722222222222229;-0.20000000000000076;-0.32727272727272766;-0.34891134086280934;-0.32183579375997684;-0.3944659228830573;-0.4419852317128112;-0.5470281413263675;-0.6768457155799746;-0.668298051392467;-0.6680982963891029;-0.6782401597361524;-0.6662504387346448
Fiorentina;-5.551115123125783e-17;-1.3250000000000013;-0.5253614543427719;-0.7491754075986881;-0.32203005023560766;-0.21061659090816734;0.16076816106448868;0.7297704024199457;1.1729577435013538;1.0859316868295255;1.086367385546258;1.071787931445358;1.0784766698385018;1.2941094865359288;1.2261963313770414;1.108875624818152;0.9734702470511073;0.9611111111111118;0.8;0.6954545454545443;0.6537043797128514;0.6818066094312775;0.675232258156785;0.6621956014478723;0.5487501616057088;0.4551314591620772;0.4410120000286296;0.4195610100898151;0.5242657309648098;0.5730253056190221
Genoa;0.0;-0.07500000000000161;0.7671655032903764;0.34994585832854047;-0.5208067263704079;-0.7189611146532977;-1.287967553462999;-1.1404228146769313;-1.329530718508874;-1.1205266089266321;-0.9215020990459203;-0.9153672187638912;-0.9215823338193682;-0.7475114795689284;-0.7040067927824942;-0.6312443359922943;-0.6099426557391298;-0.5250000000000005;-0.5499999999999996;-0.5000000000000009;-0.5608710979027446;-0.47233150627879134;-0.4712625200324308;-0.46155885393536966;-0.40139302022759005;-0.37254610526050735;-0.3819256673154674;-0.38556327405941854;-0.362300131365874;-0.3613098825813076
Hellas Verona;1.4999999999999998;3.175000000000003;1.9508439597672467;1.1765031643941488;0.545396062067883;0.22111274678185658;0.07106196697381566;-0.34129545017875706;-0.8453389335448591;-0.958483856581747;-0.7646596783234483;-0.7841760711942194;-1.0061803614562275;-1.0747736895101117;-1.2091008272471313;-1.0833008543266491;-1.061744090752245;-0.9361111111111111;-0.9000000000000007;-0.9090909090909084;-0.9861714975845407;-0.9715378468332554;-0.9167298871442554;-1.0393021882178994;-1.0267823411084762;-0.9383981140107384;-0.9468915533226223;-0.941281665148;-0.8841516889439516;-0.8758209154112551
Inter;4.440892098500626e-16;-0.8250000000000021;1.591247083550986;1.1291975225763196;0.668021536194406;0.6474552544738406;0.7205029756866395;0.7393281815773377;0.8143697014813873;1.0544534885874812;1.0195340642744208;0.9816176859212301;1.2195955821685305;0.9889960399802081;1.0362668930553252;1.3570601582523418;1.3557852398205639;1.411111111111112;1.3500000000000008;1.3022727272727281;1.3184567098515023;1.3893552913623646;1.3467431678144883;1.3610613261526707;1.2923706293714279;1.2582302244992547;1.2448535612904466;1.2029205603292905;1.2686931170257083;1.2529647442239649
Juventus;1.5000000000000004;5.425000000000005;2.375033446067231;1.7116645963783395;1.5838075769786104;1.7141361634356453;1.2151031497973237;1.2532709340749857;1.0116890011708908;0.8992877444267822;0.9431471694596246;1.0245190289279362;0.9897387555519328;0.8373654638576071;0.7966326500163547;0.7092782396647327;0.7116316447194287;0.7277777777777763;0.7499999999999997;0.7045454545454553;0.7803391683117095;0.7490634301051403;0.8289537946922926;0.817923420001975;0.8729827309231653;0.8543671785395656;0.8609680762004452;0.7334554605248369;0.6259363414501983;0.6290262434060535
