WEEK;DATE;HOME;AWAY;FTHG;FTAG;DIFF
6;27/03/2025;Ayacucho;Melgar;2;3;-1
6;28/03/2025;Alianza Atlético;Cusco;2;4;-2
6;29/03/2025;ADT Tarma;Alianza Lima;3;0;3
6;29/03/2025;Sporting Cristal;Binacional;5;0;5
6;29/03/2025;Deportivo Garcilaso;Sport Boys;4;0;4
6;28/03/2025;Universitario;Sport Huancayo;3;1;2
6;30/03/2025;CDC Santa Rosa;Alianza Univ;3;1;2
6;30/03/2025;Juan Pablo II;UTC;4;2;2
7;04/04/2025;Binacional;Ayacucho;1;1;0
7;05/04/2025;Atlético Grau;Cienciano;1;1;0
7;05/04/2025;Melgar;ADT Tarma;4;0;4
7;04/04/2025;Sport Huancayo;Deportivo Garcilaso;0;3;-3
7;06/04/2025;Cusco;Juan Pablo II;4;2;2
7;06/04/2025;Sport Boys;CDC Santa Rosa;1;1;0
7;06/04/2025;UTC;Sporting Cristal;4;1;3
7;06/04/2025;Alianza Univ;Comerciantes Unidos;0;2;-2
7;05/04/2025;Alianza Lima;Universitario;1;1;0
8;11/04/2025;Ayacucho;UTC;0;1;-1
8;11/04/2025;CDC Santa Rosa;Sport Huancayo;1;3;-2
8;12/04/2025;Juan Pablo II;Alianza Atlético;1;0;1
8;13/04/2025;Sporting Cristal;Cusco;1;0;1
8;13/04/2025;Comerciantes Unidos;Sport Boys;0;4;-4
8;13/04/2025;ADT Tarma;Binacional;1;1;0
8;12/04/2025;Cienciano;Alianza Univ;0;1;-1
8;13/04/2025;Universitario;Melgar;4;1;3
8;14/04/2025;Deportivo Garcilaso;Alianza Lima;0;1;-1
9;18/04/2025;Melgar;Deportivo Garcilaso;1;2;-1
9;18/04/2025;Binacional;Universitario;1;3;-2
9;17/04/2025;Alianza Univ;Atlético Grau;0;0;0
9;19/04/2025;Sport Boys;Cienciano;2;2;0
9;19/04/2025;Alianza Atlético;Sporting Cristal;1;0;1
9;18/04/2025;Alianza Lima;CDC Santa Rosa;1;0;1
9;20/04/2025;UTC;ADT Tarma;0;1;-1
9;20/04/2025;Sport Huancayo;Comerciantes Unidos;4;2;2
9;19/04/2025;Cusco;Ayacucho;3;0;3
10;26/04/2025;Ayacucho;Alianza Atlético;0;2;-2
10;26/04/2025;Deportivo Garcilaso;Binacional;0;1;-1
10;27/04/2025;CDC Santa Rosa;Melgar;1;1;0
10;27/04/2025;Atlético Grau;Sport Boys;3;3;0
10;27/04/2025;Universitario;UTC;6;0;6
10;28/04/2025;Sporting Cristal;Juan Pablo II;3;2;1
10;28/04/2025;ADT Tarma;Cusco;2;1;1
10;28/04/2025;Cienciano;Sport Huancayo;2;1;1
11;02/05/2025;Sport Huancayo;Atlético Grau;3;0;3
11;01/05/2025;Melgar;Comerciantes Unidos;1;1;0
11;03/05/2025;UTC;Deportivo Garcilaso;2;1;1
11;03/05/2025;Juan Pablo II;Ayacucho;0;0;0
11;03/05/2025;Cusco;Universitario;2;0;2
11;02/05/2025;Alianza Lima;Cienciano;0;1;-1
11;04/05/2025;Sport Boys;Alianza Univ;4;2;2
11;04/05/2025;Alianza Atlético;ADT Tarma;2;0;2
11;04/05/2025;Binacional;CDC Santa Rosa;1;2;-1
12;09/05/2025;Comerciantes Unidos;Binacional;1;1;0
12;10/05/2025;Ayacucho;Sporting Cristal;1;4;-3
12;10/05/2025;Atlético Grau;Alianza Lima;1;1;0
12;11/05/2025;CDC Santa Rosa;UTC;2;1;1
12;11/05/2025;ADT Tarma;Juan Pablo II;2;2;0
12;11/05/2025;Deportivo Garcilaso;Cusco;1;3;-2
12;11/05/2025;Universitario;Alianza Atlético;0;1;-1
12;10/05/2025;Cienciano;Melgar;1;2;-1
12;12/05/2025;Alianza Univ;Sport Huancayo;0;1;-1
13;16/05/2025;Alianza Atlético;Deportivo Garcilaso;1;0;1
