DATE;HOME;AWAY
18/03/2025;Rionegro;CD América
30/03/2025;Envigado;Once Caldas
01/04/2025;Llaneros;Pereira
01/04/2025;Boyacá Chicó;Tolima
04/04/2025;Alianza;Envigado
05/04/2025;Nacional;Unión Magdalena
05/04/2025;AD Cali;La Equidad
05/04/2025;Once Caldas;CD América
04/04/2025;Santa Fe;Pasto
06/04/2025;Pereira;Boyacá Chicó
