WEEK;DATE;HOME;AWAY;FTHG;FTAG;DIFF
1;02/08/2024;Köln;Hamburger SV;1;2;-1
1;03/08/2024;Karlsruher;Nürnberg;3;2;1
1;03/08/2024;Hannover 96;Jahn R'burg;2;0;2
1;03/08/2024;Hertha BSC;Paderborn 07;1;2;-1
1;03/08/2024;Magdeburg;Elversberg;0;0;0
1;03/08/2024;Schalke 04;BTSV;5;1;4
1;04/08/2024;Darmstadt 98;Düsseldorf;0;2;-2
1;04/08/2024;Greuther Fürth;Preußen Münster;3;1;2
1;04/08/2024;Ulm;Kaiserslautern;1;2;-1
2;09/08/2024;Jahn R'burg;Ulm;1;0;1
2;09/08/2024;Kaiserslautern;Greuther Fürth;2;2;0
2;10/08/2024;Nürnberg;Schalke 04;3;1;2
2;10/08/2024;Elversberg;Köln;2;2;0
2;10/08/2024;Düsseldorf;Karlsruher;0;0;0
2;10/08/2024;Hamburger SV;Hertha BSC;1;1;0
2;11/08/2024;Preußen Münster;Hannover 96;0;0;0
2;11/08/2024;Paderborn 07;Darmstadt 98;3;1;2
2;11/08/2024;BTSV;Magdeburg;1;3;-2
3;23/08/2024;Karlsruher;Elversberg;3;2;1
3;23/08/2024;Hannover 96;Hamburger SV;1;0;1
3;24/08/2024;Greuther Fürth;Paderborn 07;1;1;0
3;24/08/2024;Preußen Münster;Kaiserslautern;0;1;-1
3;24/08/2024;Hertha BSC;Jahn R'burg;2;0;2
3;24/08/2024;Köln;BTSV;5;0;5
3;25/08/2024;Ulm;Düsseldorf;1;2;-1
3;25/08/2024;Darmstadt 98;Nürnberg;1;1;0
3;25/08/2024;Magdeburg;Schalke 04;2;2;0
4;30/08/2024;Düsseldorf;Hannover 96;1;0;1
4;30/08/2024;Jahn R'burg;Greuther Fürth;0;4;-4
4;31/08/2024;Nürnberg;Magdeburg;0;4;-4
4;31/08/2024;Elversberg;Darmstadt 98;4;0;4
4;31/08/2024;Hamburger SV;Preußen Münster;4;1;3
4;31/08/2024;Kaiserslautern;Hertha BSC;3;4;-1
4;01/09/2024;BTSV;Karlsruher;1;2;-1
4;01/09/2024;Paderborn 07;Ulm;0;0;0
4;01/09/2024;Schalke 04;Köln;1;3;-2
5;13/09/2024;Karlsruher;Schalke 04;2;0;2
5;13/09/2024;Preußen Münster;Paderborn 07;3;3;0
5;14/09/2024;Hannover 96;Kaiserslautern;3;1;2
5;14/09/2024;Darmstadt 98;BTSV;1;1;0
5;14/09/2024;Ulm;Nürnberg;1;2;-1
5;14/09/2024;Köln;Magdeburg;1;2;-1
5;15/09/2024;Hertha BSC;Düsseldorf;0;2;-2
5;15/09/2024;Greuther Fürth;Elversberg;0;0;0
5;15/09/2024;Hamburger SV;Jahn R'burg;5;0;5
6;20/09/2024;Paderborn 07;Hannover 96;2;1;1
6;20/09/2024;Schalke 04;Darmstadt 98;3;5;-2
6;21/09/2024;Düsseldorf;Köln;2;2;0
6;21/09/2024;BTSV;Greuther Fürth;2;0;2
6;21/09/2024;Nürnberg;Hertha BSC;0;2;-2
6;21/09/2024;Kaiserslautern;Hamburger SV;2;2;0
6;22/09/2024;Elversberg;Ulm;1;3;-2
6;22/09/2024;Jahn R'burg;Preußen Münster;0;3;-3
6;22/09/2024;Magdeburg;Karlsruher;2;2;0
7;27/09/2024;Ulm;BTSV;3;1;2
7;27/09/2024;Greuther Fürth;Düsseldorf;1;2;-1
7;28/09/2024;Darmstadt 98;Magdeburg;1;2;-1
7;28/09/2024;Hamburger SV;Paderborn 07;2;2;0
7;28/09/2024;Jahn R'burg;Kaiserslautern;0;0;0
7;28/09/2024;Preußen Münster;Schalke 04;1;2;-1
7;29/09/2024;Hannover 96;Nürnberg;2;0;2
7;29/09/2024;Hertha BSC;Elversberg;1;4;-3
7;29/09/2024;Köln;Karlsruher;4;4;0
8;04/10/2024;Karlsruher;Darmstadt 98;3;3;0
8;04/10/2024;Paderborn 07;Jahn R'burg;3;0;3
8;05/10/2024;Köln;Ulm;2;0;2
8;05/10/2024;Nürnberg;Preußen Münster;3;2;1
8;05/10/2024;Elversberg;Kaiserslautern;1;0;1
8;05/10/2024;Schalke 04;Hertha BSC;2;2;0
8;06/10/2024;Düsseldorf;Hamburger SV;0;3;-3
8;06/10/2024;BTSV;Hannover 96;2;0;2
8;06/10/2024;Magdeburg;Greuther Fürth;2;2;0
9;18/10/2024;Hertha BSC;BTSV;3;1;2
9;18/10/2024;Darmstadt 98;Köln;5;1;4
9;19/10/2024;Hannover 96;Schalke 04;1;0;1
9;19/10/2024;Jahn R'burg;Düsseldorf;0;3;-3
9;19/10/2024;Preußen Münster;Elversberg;1;1;0
9;19/10/2024;Kaiserslautern;Paderborn 07;3;0;3
9;20/10/2024;Ulm;Karlsruher;0;1;-1
9;20/10/2024;Greuther Fürth;Nürnberg;0;4;-4
9;20/10/2024;Hamburger SV;Magdeburg;3;1;2
10;25/10/2024;Nürnberg;Jahn R'burg;8;3;5
10;25/10/2024;Köln;Paderborn 07;1;2;-1
10;26/10/2024;Schalke 04;Greuther Fürth;3;4;-1
10;26/10/2024;Karlsruher;Hertha BSC;1;3;-2
10;26/10/2024;Elversberg;Hamburger SV;4;2;2
10;26/10/2024;Düsseldorf;Kaiserslautern;3;4;-1
10;27/10/2024;BTSV;Preußen Münster;1;1;0
10;27/10/2024;Darmstadt 98;Ulm;1;1;0
10;27/10/2024;Magdeburg;Hannover 96;0;3;-3
11;01/11/2024;Preußen Münster;Düsseldorf;1;0;1
11;01/11/2024;Ulm;Schalke 04;0;0;0
11;02/11/2024;Greuther Fürth;Darmstadt 98;1;5;-4
11;02/11/2024;Jahn R'burg;Elversberg;1;0;1
11;02/11/2024;Hannover 96;Karlsruher;2;1;1
