;WEEK2;WEEK3;WEEK4;WEEK5;WEEK6;WEEK7;WEEK8;WEEK9;WEEK10;WEEK11;WEEK12;WEEK13;WEEK14;WEEK15;WEEK16;WEEK17;WEEK18;WEEK19;WEEK20;WEEK21;WEEK22;WEEK23;WEEK24;WEEK25;WEEK26;WEEK27;WEEK28
Angers;-0.5;-0.5833333333333326;-1.251352077296326;-1.5450076661862555;-0.9317967144431595;-0.8292153922516954;-0.5225657732665143;-0.5341183941915693;-0.47947922412189603;-0.26815171722417086;-0.24199757380540193;-0.3363502727169585;-0.3873032368824293;-0.5211769608303636;-0.6493055555555549;-0.5069444444444449;-0.44444444444444453;-0.32777777777777717;-0.34791787058205786;-0.3893732304856784;-0.4169927766293565;-0.3699306949791615;-0.41552018373679445;-0.5549168308168337;-0.6128920939121419;-0.637144852161687;-0.7213444213362356
Auxerre;0.5;-0.37500000000000067;-0.38607790757342475;-1.2488655150384131;-1.6127206490211121;-1.0127725454055938;-1.4311495359398494;-1.0885448134361586;-0.9696657574534928;-0.4646522928357326;-0.15768839503115606;-0.07582537325046279;-0.18567840657672657;-0.051581385316043615;-0.033611421948693154;-0.1527777777777768;-0.11111111111111122;-0.22777777777777772;-0.27154438010455395;-0.3353803136320559;-0.33011348394985973;-0.31325726487645394;-0.13603332858964934;-0.15811850848275885;-0.09682756761417136;-0.0680398399385419;-0.08324752405406918
Brest;-1.9999999999999996;-2.583333333333335;-0.7449445963129003;0.07958519657501206;0.11684271911586286;-0.7476846434289417;-0.584906554393541;-0.4259595526061194;-0.2212118793541951;-0.16077694428005285;-0.49178247602382275;-0.45447461170228753;-0.30161018005166995;-0.38429865978398614;-0.18055555555555447;-0.32291666666666674;-0.22222222222222193;-0.16666666666666702;-0.1699712103899058;-0.22081581596609987;-0.12809804898900878;-0.1496072594482123;-0.12492840702207852;-0.12933085886979315;-0.06546266022079279;-0.0771135793969589;0.007066939889464903
Le Havre;-1.4999999999999996;1.4374999999999964;0.7122659952383148;0.01302813373807364;-0.8310657235754432;-1.059490064267191;-1.286944880080405;-1.5134604509386367;-1.3546089701270128;-1.2988897169261289;-1.3921854041836772;-1.1433270556197621;-1.1366197215652145;-1.0749395779333266;-1.2090995710181363;-1.3124999999999991;-1.277777777777778;-1.2194444444444432;-1.2125006690926028;-1.1783640265975257;-1.0612129859686952;-1.0673373611347499;-1.1463918608083117;-1.0675301635484704;-1.0778030755032146;-1.0910271316311504;-1.0407290413751462
Lens;0.5000000000000001;-0.08333333333333393;0.16297041489329783;0.30208708227590986;0.5953425628475139;0.5645584749286671;0.6734663442204537;0.6270266331477975;0.42132627267387673;0.4522757781481658;0.42730418080230614;0.28900202109963075;0.4126466847424794;0.4067421922789044;0.38911269735028964;0.3124999999999996;0.27777777777777746;0.29999999999999877;0.3131869684633997;0.3369065000302945;0.265475974913023;0.17636945627070097;0.059943026832159595;-0.03211727782677582;0.03643083551986026;0.06860860171882857;0.04634090746516779
Lille;0.9999999999999998;1.9166666666666656;1.823503388270098;0.45324894461250187;0.09228732349324496;0.572142413037021;0.5931881018245518;0.5320196478804825;0.7919619378374925;0.7362438539594425;0.779466743491509;0.7631276265510532;0.5623451671087771;0.6269030618494946;0.6596380631456222;0.5972222222222224;0.5555555555555557;0.6111111111111116;0.54469696969697;0.6026738567149779;0.4836099767167038;0.5442871758191314;0.5864502941818073;0.524952752774829;0.48752931687362977;0.41492246730573984;0.4435519398188707
Lyon;-1.5000000000000004;-3.4374999999999987;-2.1915230990974695;-1.034325608586968;-0.28958887559301405;-0.14224746593835916;0.07704484839124762;0.4061460886822196;0.21089694971568956;0.22953748637785584;0.17618523848928694;0.184678814663372;0.4548625530498867;0.6148973511252391;0.5381944444444443;0.48958333333333315;0.38888888888888884;0.36944444444444335;0.3259647299818873;0.3105199078516933;0.4631680782473332;0.5109135956673078;0.5182112615188457;0.5334235425219068;0.6168564125739805;0.6259011658265802;0.5458764309399963
Marseille;1.9999999999999996;0.9166666666666665;2.118019357096501;2.385848049559427;2.1863190686504828;1.4771479604426725;1.2651181064756098;1.5111071167129142;1.2649806980210645;1.1668505987589513;0.8634419225855262;0.9602358557642494;1.0218182096583748;0.9772759511086837;0.9564804389398782;1.0659722222222223;1.055555555555556;1.0055555555555555;0.89469696969697;0.9101241305953072;0.9520094091597338;1.0373368123361355;0.8621784549851439;0.8803637244648939;0.8097229583928018;0.7813720028062866;0.6606617335294392
Monaco;0.4999999999999998;-0.8124999999999981;-0.5147920817108861;0.7080964073018475;0.6548400670625739;0.5987314973048042;0.729089743376577;0.7108376495970075;0.6162270005336028;0.47306123032354275;0.6388497070784911;0.6390283933071592;0.5845126959089789;0.6960030009610286;0.6699233509545418;0.6145833333333325;0.5555555555555559;0.40555555555555556;0.431500436279709;0.49232248784772564;0.4132051994144595;0.6236737046437669;0.5934401444954065;0.6705721861928793;0.6528690918039343;0.6772235409944274;0.7132909090490444
Montpellier;-2.7755575615628914e-17;-0.3125000000000016;-1.419671020857861;-2.278198339294136;-1.851625824657092;-1.4082927267071474;-1.487871760382013;-1.7606425896768703;-1.9580925100453206;-2.0695136546215442;-1.7434899301490976;-1.7669594590749678;-1.5888268494180622;-1.5869441772141495;-1.4305555555555558;-1.3819444444444446;-1.4444444444444438;-1.2944444444444458;-1.1830677357003108;-1.2013348008766098;-1.2382250389294023;-1.2818751870192215;-1.2835716987168866;-1.3856156352470275;-1.3505750152846776;-1.421234684122309;-1.4111714925815577
Nantes;1.1102230246251565e-16;0.8749999999999993;0.8700303170937819;0.21777658284123397;-0.06401248111404946;-0.35350870492029995;-0.5621152792296878;-0.34653193276939176;-0.4989922467534523;-0.3559889284524092;-0.3370138958428624;-0.5836355569002267;-0.40736196255285195;-0.32924049353509754;-0.5205975883812615;-0.44791666666666696;-0.38888888888888834;-0.42777777777777704;-0.3878502500763588;-0.3319462594228512;-0.4157970017868746;-0.6364845059443568;-0.5235631115115853;-0.5507358978155712;-0.5564528127980063;-0.4781966261201077;-0.5322702874900008
Nice;-0.5000000000000001;-0.6249999999999994;0.2594699649476288;0.065636815965184;1.028260717178443;0.8936093695852307;1.0957190322941597;0.9908444977296335;1.0602802991228386;1.1471580053751653;1.108590723589723;1.0700147783774767;0.763369890942952;0.7104422679173654;0.556918793378931;0.5902777777777777;0.6666666666666672;0.6111111111111128;0.7219696969696972;0.6883589610011174;0.7563538871485237;0.7680090996253504;0.7557147117827453;0.7548819561003177;0.6727695709460537;0.6410282455849041;0.5972384045229702
Paris S-G;1.4999999999999998;5.062499999999996;4.038699454216847;2.8169159839078675;2.3030500833753282;2.3230205296633413;2.0923092269788843;1.9945325349854601;2.2790623395777567;2.0757231892497456;1.9968863271885335;2.08694497449292;1.909664523653753;1.7477825701195233;1.8018239731085652;1.8402777777777768;1.722222222222222;1.700000000000001;1.6116572398500641;1.6657445319984727;1.7393353764967687;1.7079335427148572;1.6971477063007974;1.772631060588778;1.822931313417633;1.8559158336121884;1.9255628978133383
Reims;-0.9999999999999998;0.41666666666666785;0.6831627878897625;0.7275977901715323;0.9888119225000608;0.9672907150453331;0.8368804089987837;0.45077491134956266;0.2667498251199871;0.12228503286391026;0.2575700673286329;0.26277972407008016;0.18044830500811262;0.141412909000046;0.18388675795704248;-0.034722222222221544;-0.11111111111111133;-0.16944444444444348;-0.08004217146212678;-0.13545551209628146;-0.2852048424096129;-0.3415176271163531;-0.37366594091715755;-0.44751404691821495;-0.5111023443151768;-0.4911946517454009;-0.3749745361656569
Rennes;1.5000000000000004;-1.0624999999999993;-0.8920343816973064;-0.14648241632704373;0.42641561809530737;0.614157484300963;0.4801002405906412;0.2983777212916365;0.1921850683719338;-0.36175917749824127;-0.48706814743668375;-0.44736414294590476;-0.14218020722614583;-0.2111027505463822;-0.09458745201992703;-0.12152777777777865;-0.11111111111111123;-0.1666666666666671;-0.18692353870551037;-0.12451264068903647;-0.08048246649940502;-0.13182137806816266;-0.0978663937747381;0.008704929921917015;-0.03734222016262225;-0.06977410831059006;0.025845350395758557
Saint-Étienne;-0.5;-1.1875;-2.5158235609284905;-1.1865103294431505;-2.5877669793450613;-2.3493666887815583;-1.9210170531640298;-1.8142210401744205;-1.8482402852935804;-1.3716362615194333;-1.3276701507782533;-1.2945309462277914;-1.5890001735346797;-1.5276389038790328;-1.4991069206916008;-1.2847222222222225;-1.1666666666666674;-1.1277777777777787;-1.0829697315090463;-1.1459358436352334;-1.1973992261599768;-1.2826060504666834;-1.2385147611852414;-1.2437947149541286;-1.2465883047606812;-1.182522019503239;-1.2548536585984527
Strasbourg;2.7755575615628914e-17;0.3124999999999986;-1.1677428338842106;-1.0010035075986068;-0.3108616946209456;0.3806153788139095;0.4397828725505712;0.3843060948540108;0.46931658725301467;0.023358116717837562;-0.11410050712515078;-0.11965065946750046;-0.2851586834308202;-0.25992447438776245;-0.12185531196654988;-0.003472222222222212;0.05555555555555488;0.10555555555555539;0.17196969696969655;0.11372787364863111;0.14167781274762034;0.2323607338842864;0.2084252198535574;0.22835356506941415;0.2395008782579239;0.2714935667508372;0.3502003257272459
Toulouse;-1.1102230246251565e-16;0.12499999999999957;0.4158398797126372;0.6705723955259804;0.0872688600510569;-0.48869559142115127;-0.48612808924543827;-0.42249412243755874;-0.2426961050783083;-0.0751245984169014;0.044701569822100606;-0.033694110420079665;0.13407139116528993;0.025388079065858257;-0.016703586586483174;0.05902777777777924;-5.685556192513985e-16;0.019444444444443106;-0.09285515028592095;-0.05725980628684853;-0.06130984352197395;-0.026446791908181184;0.05854486631198141;0.19579021684463643;0.2164357167856678;0.17978206833019336;0.10295512244982274
