COUNTRY;LEAGUE;WEEK;DATE;HOME;AWAY;FTHG;FTAG;FTR;HOME_SCORE;AWAY_SCORE;DIFF_SCORE;DIFF_FTR
bolivia;Primera Div;6;04/05/2025;Blooming;GV San José;5;1;H;0.6815070588666932;0.1122448410657485;0.5692622178009447;D
bolivia;Primera Div;7;10/05/2025;FC Universitario;ABB;2;0;H;-1.148532134524686;-0.0236490655078623;-1.1248830690168237;D
bolivia;Primera Div;7;10/05/2025;Guabirá;Real Oruro;3;1;H;-0.8589929726362759;-0.3138771106278941;-0.5451158620083818;D
bolivia;Primera Div;7;09/05/2025;Blooming;Wilstermann;3;1;H;1.223073531735623;-1.515629306297546;2.738702838033169;H
bolivia;Primera Div;7;11/05/2025;Always Ready;Real Tomayapo;1;1;D;2.368366923422457;-0.3912162523412867;2.7595831757637437;H
bolivia;Primera Div;7;11/05/2025;The Strongest;San Antonio Bulo Bulo;6;3;H;1.3535718212777594;-0.5518703470875368;1.9054421683652962;H
bolivia;Primera Div;7;11/05/2025;Aurora;Bolívar;0;2;A;0.0531780353140043;2.0199514707207937;-1.9667734354067894;A
bolivia;Primera Div;7;10/05/2025;Indep Petrolero;Oriente Petrolero;5;2;H;-0.8656640430688816;-0.918546926700734;0.05288288363185245;D
bolivia;Primera Div;8;16/05/2025;ABB;Guabirá;1;1;D;-0.4318353323703895;-0.3941507003557961;-0.03768463201459343;D
bolivia;Primera Div;8;16/05/2025;Nacional Potosí;Aurora;3;1;H;-0.0083606043097492;0.0575559070828939;-0.0659165113926431;D
bolivia;Primera Div;8;16/05/2025;Real Tomayapo;Indep Petrolero;3;3;D;0.0159483552770385;-0.5599937045648979;0.5759420598419365;D
