WEEK;DATE;HOME;AWAY
28;04/04/2025;Nice;Nantes
28;05/04/2025;Paris S-G;Angers
28;05/04/2025;Brest;Monaco
28;05/04/2025;Lyon;Lille
28;06/04/2025;Lens;Saint-Étienne
28;06/04/2025;Rennes;Auxerre
28;06/04/2025;Montpellier;Le Havre
28;06/04/2025;Reims;Strasbourg
28;06/04/2025;Marseille;Toulouse
29;11/04/2025;Lens;Reims
