WEEK;DATE;HOME;AWAY
4;10/03/2025;Unión Española;U de Chile
5;15/03/2025;Univ Católica;Colo-Colo
7;13/04/2025;U de Chile;Colo-Colo
11;17/05/2025;Cobresal;Audax Italiano
11;17/05/2025;O'Higgins;Univ Católica
11;18/05/2025;CD Limache;Palestino
11;18/05/2025;U de Chile;Huachipato
11;19/05/2025;Unión Española;Everton
11;19/05/2025;Colo-Colo;Ñublense
11;19/05/2025;La Serena;Iquique
