WEEK;DATE;HOME;AWAY
3;23/02/2025;Atlético Grau;Universitario
10;26/04/2025;Comerciantes Unidos;Alianza Lima
13;17/05/2025;UTC;Comerciantes Unidos
13;17/05/2025;Sporting Cristal;ADT Tarma
13;17/05/2025;Cusco;CDC Santa Rosa
13;18/05/2025;Sport Huancayo;Sport Boys
13;18/05/2025;Juan Pablo II;Universitario
13;18/05/2025;Melgar;Atlético Grau
13;19/05/2025;Binacional;Cienciano
13;19/05/2025;Alianza Lima;Alianza Univ
